epoch,total_trees,train_accuracy,train_precision,train_recall,train_f1,test_accuracy,test_precision,test_recall,test_f1,time_minutes
1,500,0.9692046875,0.9727964631308471,0.96540625,0.9690872674173305,0.965975,0.9699341955979124,0.9617625,0.9658310633543803,3.2701330166666667
2,1000,0.98031875,0.9834460415814802,0.977084375,0.9802548868998165,0.97445,0.977926918330857,0.9708125,0.9743567225783788,2.5746670166666665
3,1500,0.9865859375,0.9889988411568332,0.98411875,0.9865527606391393,0.97861875,0.9816955805205752,0.975425,0.9785502448444721,2.6422585333333335
4,2000,0.99070625,0.9927078757452149,0.988675,0.9906873336464694,0.98095625,0.9839263479606082,0.9778875,0.9808976296008376,2.75465435
5,2500,0.993565625,0.9951935738741111,0.991921875,0.9935550310823416,0.9824,0.9855194625468636,0.9791875,0.9823432777798679,2.9325552833333335
6,3000,0.9957296875,0.9968491507427673,0.994603125,0.9957248713003243,0.983475,0.9866259027201127,0.9802375,0.9834213265446884,3.1552971166666666
7,3500,0.997278125,0.9980189281556315,0.996534375,0.9972760990987046,0.98423125,0.9871970621156289,0.9811875,0.9841831073329447,3.3809480333333335
8,4000,0.9983453125,0.9987739463601533,0.997915625,0.9983446011958264,0.984725,0.9875282876540106,0.98185,0.9846809577535415,3.6550491666666667
9,4500,0.9990640625,0.9992965474549087,0.99883125,0.9990638445513096,0.98515625,0.9879804367778519,0.9822625,0.9851131712392737,3.9784724333333332
10,5000,0.99949375,0.9996155312857509,0.999371875,0.9994936882932608,0.9855125,0.9883203419663062,0.9826375,0.985470728343989,4.377970983333333
11,5500,0.99975,0.999784360174762,0.999715625,0.9997499914059546,0.98585625,0.9886353636306493,0.9830125,0.985815914005453,4.729000166666666
12,6000,0.99989375,0.9999156213084323,0.999871875,0.9998937476757304,0.9860125,0.9887986523182138,0.9831625,0.9859725216868074,5.092600216666667
13,6500,0.9999421875,0.9999593736034676,0.999925,0.9999421865063306,0.98631875,0.9891005091457665,0.983475,0.9862797329906923,5.539397383333333
14,7000,0.9999703125,0.9999749997656228,0.999965625,0.9999703123608392,0.98643125,0.9891767545348267,0.983625,0.9863930655401721,6.093397049999999
15,7500,0.9999859375,0.999984375048828,0.9999875,0.9999859375219726,0.986525,0.989375612945407,0.9836125,0.9864856394248248,6.541365816666667
16,8000,0.999990625,0.999996874960937,0.999984375,0.9999906249414059,0.98664375,0.9894642879593658,0.9837625,0.9866051561060305,6.981424766666667
17,8500,0.9999921875,0.9999968749707029,0.9999875,0.9999921874633787,0.98663125,0.9893901871802285,0.9838125,0.9865934603162665,7.37978955
18,9000,0.999996875,0.999996875,0.999996875,0.999996875,0.986725,0.9895767847712927,0.9838125,0.9866862236263116,7.9724881666666665
19,9500,0.999996875,0.999996875,0.999996875,0.999996875,0.9868125,0.9895293881039771,0.9840375,0.9867758028529169,8.366412633333333
20,10000,0.999996875,0.999996875,0.999996875,0.999996875,0.9868875,0.9896171154184579,0.9841,0.9868508467352746,8.6860029
21,10500,0.9999984375,1.0,0.999996875,0.9999984374975586,0.9869,0.9896050680007039,0.9841375,0.986863711001642,9.15059285
22,11000,0.9999984375,1.0,0.999996875,0.9999984374975586,0.987,0.9897179345366786,0.984225,0.9869638246133019,9.539685100000002
23,11500,0.9999984375,1.0,0.999996875,0.9999984374975586,0.9870875,0.9898305510860821,0.9842875,0.9870512434817489,9.944410816666668
24,12000,0.9999984375,1.0,0.999996875,0.9999984374975586,0.9871625,0.9898813414450198,0.9843875,0.9871267768056357,10.320003916666668
25,12500,0.9999984375,1.0,0.999996875,0.9999984374975586,0.9871125,0.9898187485859373,0.98435,0.9870767996590581,10.65532385
26,13000,0.9999984375,1.0,0.999996875,0.9999984374975586,0.9871625,0.9898690263706981,0.9844,0.9871269381666855,10.994103566666666
27,13500,0.9999984375,1.0,0.999996875,0.9999984374975586,0.987125,0.9898313180321275,0.9843625,0.987089334285965,11.353885466666666
28,14000,0.9999984375,1.0,0.999996875,0.9999984374975586,0.98715,0.9898564569245079,0.9843875,0.9871144035397786,11.774042616666666
29,14500,0.9999984375,1.0,0.999996875,0.9999984374975586,0.98724375,0.9900061597254523,0.984425,0.9872076916809256,12.057700533333334
30,15000,0.9999984375,1.0,0.999996875,0.9999984374975586,0.9872375,0.9899937146448774,0.984425,0.9872015042306487,12.43330945
31,15500,0.9999984375,1.0,0.999996875,0.9999984374975586,0.987225,0.9899811439346323,0.9844125,0.9871889689752429,12.815586633333334
32,16000,0.9999984375,1.0,0.999996875,0.9999984374975586,0.9872875,0.9900193579204063,0.9845,0.987251964852025,13.144605466666667
33,16500,0.9999984375,1.0,0.999996875,0.9999984374975586,0.987325,0.9900447483533612,0.98455,0.9872897289979694,13.4835497
34,17000,0.9999984375,1.0,0.999996875,0.9999984374975586,0.98734375,0.9900328050175338,0.9846,0.9873089288735969,13.81601215
35,17500,0.9999984375,1.0,0.999996875,0.9999984374975586,0.98735625,0.9900207377615786,0.9846375,0.9873217810923448,14.296747616666666
36,18000,0.9999984375,1.0,0.999996875,0.9999984374975586,0.9873875,0.9900706367361303,0.98465,0.9873528785049072,14.608119649999999
37,18500,0.9999984375,1.0,0.999996875,0.9999984374975586,0.987375,0.9900703871292107,0.984625,0.9873401855101529,14.862239966666667
38,19000,0.9999984375,1.0,0.999996875,0.9999984374975586,0.98735,0.990008295000377,0.9846375,0.9873155935474975,15.2139401
39,19500,0.9999984375,1.0,0.999996875,0.9999984374975586,0.98739375,0.9900954008974472,0.9846375,0.9873589079901478,15.565332383333333
40,20000,0.9999984375,1.0,0.999996875,0.9999984374975586,0.9873375,0.990044998617361,0.984575,0.9873024229433811,15.990967683333334
41,20500,0.9999984375,1.0,0.999996875,0.9999984374975586,0.98740625,0.9901079701856483,0.98465,0.9873714425384967,16.358317133333333
42,21000,0.9999984375,1.0,0.999996875,0.9999984374975586,0.98738125,0.9900828316092459,0.984625,0.987346373441799,16.769610883333332
43,21500,0.9999984375,1.0,0.999996875,0.9999984374975586,0.98736875,0.9901072241147412,0.984575,0.9873333625817127,17.036368416666665
44,22000,0.9999984375,1.0,0.999996875,0.9999984374975586,0.98738125,0.9901197943509359,0.9845875,0.987345897601424,19.0673088
45,22500,0.9999984375,1.0,0.999996875,0.9999984374975586,0.98739375,0.9901570101446907,0.984575,0.9873581156885972,19.512880483333333
46,23000,0.9999984375,1.0,0.999996875,0.9999984374975586,0.98739375,0.9901323645871306,0.9846,0.9873584326211353,91.93168205
47,23500,0.9999984375,1.0,0.999996875,0.9999984374975586,0.9873875,0.990144563167819,0.984575,0.9873519272955187,21.052402466666667
48,24000,0.9999984375,1.0,0.999996875,0.9999984374975586,0.9873625,0.9900947783895215,0.984575,0.9873271744989157,21.572275783333335
49,24500,0.9999984375,1.0,0.999996875,0.9999984374975586,0.987375,0.9901073484677074,0.9845875,0.9873397094400642,22.310127033333334

